batch_idx,margin,method,overlap,sparse,suff
0,5.305744707584381e-06,base_evidence,0.03727295249700546,1.0,0.36971884965896606
1,-7.4785202741622925e-06,base_evidence,0.03294527530670166,1.0,0.4422047734260559
0,8.143484592437744e-06,naive_contrastive,0.0,1.0,0.369708776473999
1,-2.4491921067237854e-05,naive_contrastive,0.0,1.0,0.4421955943107605
0,1.4440156519412994e-05,optimized,0.006157217547297478,1.0097002983093262,0.36970391869544983
1,-1.3435259461402893e-05,optimized,0.0061020879074931145,1.0173954963684082,0.44220930337905884
