batch_idx,disjoint,id_ood_gap,loss,rob_mean,rob_var,sho_gap,sparse
0,0.03598741441965103,-0.0026285701896995306,0.04512931406497955,2.762985968729481e-05,1.238011138049444e-09,-1.8761958926916122e-05,0.7588139772415161
1,0.03598741441965103,-0.0022679835092276335,0.04511682316660881,5.720089757232927e-05,1.5035841460786514e-09,-3.5836827009916306e-05,0.7588139772415161
2,0.03598741441965103,-0.00012271048035472631,0.04510835185647011,4.1964151023421437e-05,1.9329136069501374e-09,-1.2133736163377762e-05,0.7588139772415161
3,0.03598741441965103,-0.005370100494474173,0.045102231204509735,2.6534002245170996e-05,2.235468699041121e-09,9.414739906787872e-06,0.7588139772415161
